Brands,Models,Transmission,Colour,Mileage,Year,Prices,
26,126,0,123,9656,0,24500,0.83557021
0,7,0,18,2,-1,35990,0.98419285
31,172,1,51,69000,2,34995,0.136980957
31,135,0,8,342947,9,5450,0.871322634
24,101,0,8,22200,1,24450,0.396677592
20,144,0,123,104605,4,15995,0.339771931
0,4,1,3,126652,3,24950,0.558338591
13,195,0,8,79617,9,6500,0.752899452
13,51,0,51,240249,9,4450,0.680787736
31,98,0,109,99987,5,13500,0.655698194
31,82,0,109,166653,14,2400,0.505342771
7,69,1,109,35405,5,13450,0.420420559
7,161,0,51,46670,1,31750,0.998918711
31,138,0,8,108132,10,6950,0.771667889
7,71,0,109,148800,7,9950,0.042330231
20,144,1,51,60028,3,20995,0.411592404
13,51,0,51,49826,3,16995,0.285037394
7,161,0,8,85293,3,21900,0.26569451
31,135,0,51,318968,9,5950,0.543525732
0,1,0,26,10,-1,37760,0.931058869
18,32,1,12,54884,3,27900,0.173020171
31,98,0,8,72000,2,18500,0.071061066
14,60,1,17,238176,9,15950,0.279287576
29,146,0,8,57858,4,18995,0.181022786
17,117,0,51,88907,7,8950,0.306426465
24,119,0,12,23189,1,17950,0.042057075
1,0,0,8,56099,4,17995,0.635304068
31,184,0,51,103535,2,27950,0.747646106
0,4,0,15,341596,8,8950,0.432241052
15,90,1,8,192000,12,4950,0.65727754
4,64,0,51,24,0,21750,0.028879824
31,138,0,101,$,0,17945,0.537088463
7,71,0,109,201163,12,2500,0.063270442
13,125,1,51,19563,1,26995,0.612434019
26,178,0,12,9999,0,38495,0.445726969
31,172,1,8,66786,2,34995,0.160623123
31,135,0,109,80141,2,26950,0.307150548
18,65,1,8,6962,0,57950,0.664745004
25,92,0,8,47698,3,12495,0.990148106
7,71,0,12,104605,5,11250,0.379372474
31,81,0,12,94046,2,16500,0.669585055
2,175,0,50,74028,7,6250,0.998867932
0,2,0,3,182656,2,20950,0.030293509
26,178,0,18,157711,4,18450,0.184061295
32,202,1,12,8999,1,43995,0.802466828
24,50,0,51,36048,1,17450,0.777497536
25,25,0,123,16999,1,29495,0.573579416
0,4,1,22,162217,3,23950,0.575798347
24,188,0,123,14,0,30250,0.643119601
31,135,0,8,100300,3,20500,0.843845833
31,98,1,8,133931,6,10450,0.02966359
31,81,0,51,298607,7,8500,0.611885422
13,176,0,51,73830,2,24995,0.555481386
18,65,1,8,145371,4,21995,0.693504434
26,178,0,51,33045,2,22995,0.63892746
21,24,0,109,173850,6,8750,0.182812816
15,124,1,61,$,0,56945,0.263027332
7,71,0,12,100237,3,14950,0.336798839
19,17,0,109,112546,3,16950,0.334046044
24,50,0,8,96000,3,11995,0.266782403
31,135,0,101,229496,8,7500,0.035651036
1,13,1,8,240339,8,15950,0.729321802
0,8,1,12,5,-1,47440,0.19229222
20,121,0,12,18617,1,13995,0.993400977
25,92,0,109,23726,1,15995,0.141816636
29,210,1,3,86092,3,14799,0.338376294
31,180,0,8,15956,0,27500,0.28956537
31,181,0,101,15,0,32500,0.551763548
18,41,1,8,10,-1,83676,0.967514879
0,10,1,3,61000,1,79950,0.666993803
21,24,0,109,133000,4,11450,0.797332774
1,9,1,113,49888,2,36995,0.815843527
21,95,0,109,180724,8,4950,0.009397395
20,99,0,51,$,0,24995,0.269201533
31,184,0,109,160594,4,19950,0.606104665
20,99,0,101,$,5,12995,0.164626053
29,18,0,103,39507,1,11495,0.098798986
30,24,0,51,112500,4,10900,0.266322915
29,57,0,8,144926,5,10995,0.611984398
18,65,1,51,90121,3,27995,0.734552333
29,140,1,109,145000,5,13950,0.612582801
11,208,1,51,55500,2,35950,0.776129353
0,142,1,51,57185,2,54995,0.002600511
1,5,0,8,195691,10,6750,0.205625567
31,81,0,101,10201,0,27500,0.21532762
31,184,0,12,266000,10,6950,0.002474812
3,84,0,109,132000,6,11495,0.861674592
1,9,1,13,63406,1,37950,0.925535029
7,71,0,51,104605,3,13900,0.304388007
31,23,1,51,71700,1,38500,0.002856928
31,135,0,8,46000,1,31945,0.59403408
24,119,0,109,70548,11,3250,0.166848815
29,26,1,101,74675,2,17950,0.936485455
14,60,1,123,112500,3,34950,0.250425749
31,184,0,12,85875,4,17500,0.283535554
29,57,0,2,142125,3,15995,0.038977428
21,24,0,51,105265,3,13450,0.023349725
0,3,1,24,10,-1,60900,0.495401141
31,138,0,104,5000,0,19945,0.333230297
31,181,0,12,20,0,29945,0.30873422
31,219,0,123,47021,2,10500,0.840318625
31,135,0,18,238176,7,7425,0.582782378
21,58,0,123,86902,10,5450,0.012778313
0,2,1,7,2,-1,46796,0.657138179
29,18,0,103,9900,0,14495,0.217274213
0,7,0,17,5,-1,36950,0.649701647
0,8,1,26,5,-1,47900,0.681702905
29,139,1,8,169000,5,12450,0.311667539
20,144,0,8,70986,3,16495,0.72133926
0,4,1,2,184667,4,18950,0.830170159
0,8,1,23,4,-1,47801,0.669855961
31,135,0,12,98972,3,19450,0.953574568
26,156,0,46,86902,4,11750,0.980338156
26,178,1,0,25731,2,26495,0.830064968
25,25,0,109,28300,1,26950,0.006741342
1,8,0,109,72554,7,16995,0.241079372
22,133,0,12,77246,4,14950,0.213807397
18,75,1,51,4153,0,43900,0.546645281
29,139,1,109,136000,5,13750,0.079996155
9,213,1,101,33002,1,14850,0.726001928
31,135,1,8,46557,2,29500,0.569488234
20,144,1,18,44925,2,22995,0.430744912
7,189,0,123,90121,15,6450,0.31611336
32,202,1,123,15736,1,43995,0.62128803
0,1,0,31,164046,8,8995,0.055204523
26,178,0,8,72972,2,27450,0.458426733
31,135,0,51,95891,3,21000,0.285179977
3,84,1,101,200641,10,5000,0.581847123
0,1,0,2,299330,6,11900,0.895726339
31,81,0,12,215331,12,4000,0.234045723
31,98,0,12,359286,7,8000,0.875492213
31,135,0,109,45060,2,25500,0.8511135
9,168,0,123,94788,4,24950,0.210643809
24,119,1,12,83455,3,15950,0.576810643
0,4,1,16,169942,3,24950,0.568582493
0,4,1,2,20908,1,43450,0.81020147
26,178,0,51,2,0,33495,0.491783065
31,187,0,123,33700,4,21495,0.474676518
13,176,0,8,41969,2,24995,0.615319392
31,81,0,109,169781,9,7950,0.235001185
0,142,1,51,124882,3,46995,0.078181094
31,138,0,8,92002,5,12500,0.142963534
20,144,0,12,86902,3,18495,0.590242148
29,26,1,76,20542,1,22499,0.184632938
32,203,1,8,58290,2,41995,0.94941398
0,0,1,11,5,-1,32900,0.985039767
31,81,0,123,27358,3,18250,0.150392768
20,121,0,123,5,-1,15895,0.100448179
31,81,0,123,95312,2,17950,0.42516025
31,219,0,123,111364,4,7950,0.997640708
31,81,0,51,34096,1,19950,0.347511895
31,135,0,51,65819,3,18750,0.611352433
4,113,0,101,25,1,14950,0.239786632
20,198,0,123,85293,5,18500,0.899007718
13,51,0,123,218865,6,8950,0.403835854
31,135,1,51,165758,4,14950,0.207604481
29,26,1,115,43173,3,17695,0.715545001
18,32,0,8,163408,4,17995,0.30658039
31,46,0,51,114400,4,12800,0.14168563
29,49,1,51,148143,8,11950,0.817328262
26,156,0,101,18278,1,18495,0.130621146
30,122,0,8,91249,3,15495,0.002534314
31,135,1,12,86212,2,22000,0.587220146
31,48,0,109,261539,3,14500,0.842916154
29,33,1,62,63810,2,23995,0.209607671
24,85,0,12,39037,2,23500,0.392928696
29,57,0,17,110500,4,13950,0.397058478
26,178,0,123,102995,4,16950,0.316919038
18,65,1,8,29933,1,39995,0.405432226
21,95,0,123,170600,7,6950,0.789752053
29,33,0,51,59000,3,20950,0.554828683
9,215,0,109,84070,2,15500,0.40395052
7,71,1,36,20921,3,15950,0.678958979
27,94,0,123,86064,5,12995,0.419699664
31,185,0,51,31145,1,36995,0.613889131
20,121,0,101,22182,1,14495,0.09500421
7,71,0,36,102200,5,11950,0.710707077
7,71,0,109,130000,6,10500,0.744089207
31,184,0,109,105567,4,18500,0.075747373
9,168,0,8,76400,3,26500,0.048081574
18,32,1,8,123655,7,15995,0.033219997
31,135,0,109,42202,3,23000,0.300670799
31,82,0,109,277582,8,7500,0.602588638
32,203,0,12,109432,4,21950,0.739885645
31,135,0,12,152906,4,15500,0.577947227
1,0,0,66,113778,3,16950,0.761162819
26,126,0,51,151274,5,16495,0.646611183
0,0,0,14,4,-1,36301,0.511921989
9,190,0,52,127000,4,15500,0.141389437
1,9,1,22,241395,6,15950,0.64816944
1,9,1,51,9599,1,43995,0.385751661
13,176,0,109,90745,5,16995,0.220429718
26,126,1,12,186679,5,12500,0.395264555
20,121,0,8,15000,1,14495,0.849698979
31,184,0,51,113569,5,15950,0.747950076
21,24,0,109,51600,2,14950,0.927264514
13,51,0,123,159131,4,10200,0.859513239
9,215,0,51,62000,2,15495,0.850071991
31,184,0,51,58895,2,28000,0.912554139
13,176,0,8,32439,2,24995,0.475870342
0,1,0,2,130353,4,19450,0.811552179
7,69,0,51,46400,1,14750,0.005522973
31,81,0,8,85615,2,18450,0.591681261
9,217,0,51,2,1,18750,0.976231088
0,1,0,17,10,-1,42605,0.352545016
8,55,0,12,68120,2,17950,0.654506889
31,184,0,109,94668,4,22500,0.193121953
16,87,0,126,185570,11,5250,0.208716805
17,45,0,8,9000,0,35495,0.643153357
32,205,1,51,97335,4,38945,0.480853438
31,81,0,12,33990,2,20500,0.965768224
18,65,1,51,100082,3,28900,0.02057449
24,50,0,123,35355,1,17450,0.423922263
8,97,0,12,64372,2,12950,0.728859035
0,3,0,3,89799,3,27950,0.477505278
1,8,1,12,52597,2,34500,0.405747506
18,40,1,123,10,-1,50982,0.857386503
0,3,0,2,70793,3,26950,0.137877675
25,112,1,51,79828,4,14995,0.084235023
9,190,0,8,$,4,20950,0.24800087
0,8,0,31,106214,4,20450,0.889042409
22,128,0,123,374428,9,9500,0.922412249
0,11,1,7,2,-1,87115,0.471171289
13,176,1,12,36209,1,31950,0.004876194
31,135,1,33,100,0,37845,0.591655297
31,184,0,51,98176,4,18500,0.514086561
19,17,0,109,80602,5,13995,0.687037129
13,206,0,51,$,0,23995,0.856107679
20,144,0,51,36355,1,21995,0.744057112
0,1,0,7,5,-1,36648,0.47418577
29,210,0,90,50328,2,15495,0.133026072
29,49,1,123,103661,7,15450,0.222732924
0,4,1,10,10,-1,63995,0.224347297
25,112,1,8,142021,4,11950,0.541971532
25,92,0,8,$,0,18495,0.147838099
0,4,1,34,46477,3,28950,0.224600641
9,214,0,12,1500,0,18995,0.303255291
1,114,1,51,71614,3,56945,0.247411558
31,184,0,51,101782,4,18000,0.621483176
21,58,0,41,55894,3,11500,0.442024432
29,110,0,109,470000,14,6950,0.357671235
13,51,0,123,181608,7,7950,0.392988887
13,176,0,12,71794,2,24995,0.843256566
0,4,1,5,63488,2,32995,0.062215757
18,77,1,8,123474,3,32995,0.436178827
29,57,0,91,51108,3,16495,0.673222262
28,166,0,50,72097,4,13950,0.765535072
29,21,1,12,131000,6,8950,0.052529736
9,214,0,8,153000,8,4950,0.335400066
4,167,0,51,77207,3,9995,0.89231922
29,210,1,94,45408,3,14995,0.649977139
31,135,0,8,145200,3,18750,0.179665226
29,49,1,123,132999,6,13950,0.164880897
7,71,0,109,165200,7,8500,0.696072322
26,126,0,12,9656,0,23500,0.670151897
32,163,0,12,65745,3,23995,0.859697641
26,126,0,8,135181,3,15250,0.877190509
19,17,0,8,27041,3,17950,0.059657142
19,108,0,109,72419,3,19925,0.61092184
31,184,0,101,54158,4,23500,0.009002463
31,46,1,12,58000,2,24500,0.70183366
31,46,0,123,126092,2,13503,0.020752269
0,2,1,3,196335,2,19950,0.082142746
17,118,0,101,13139,1,32995,0.436140589
20,121,0,51,42712,1,13995,0.710637194
31,184,1,51,2000,0,39945,0.923807271
32,192,0,101,99500,5,14995,0.455584917
31,81,0,109,177023,10,6950,0.850394062
0,8,0,2,52785,3,25450,0.561307973
32,203,1,8,52122,1,46995,0.802035381
20,144,0,51,44230,1,23495,0.032791347
18,77,1,51,4881,0,56945,0.686768902
29,57,1,38,5445,0,24375,0.536211033
18,65,1,109,130940,4,24900,0.578117127
24,119,0,123,148056,4,11850,0.413186027
9,213,1,123,40405,1,13950,0.663408463
31,187,0,109,123002,5,16000,0.252717806
26,68,0,101,29387,2,12995,0.924080963
24,101,0,101,14830,1,24450,0.812410182
31,184,0,123,78094,2,29950,0.658828055
31,81,1,123,1250,0,32945,0.756482679
17,116,0,109,113232,8,6995,0.381084821
31,83,1,46,119857,5,15500,0.773745703
18,15,0,8,92276,3,19450,0.344283588
18,65,1,109,160500,7,15950,0.611778145
18,40,1,69,18,-1,43650,0.77821444
3,84,0,109,127135,4,15750,0.59512569
24,101,0,51,78555,4,15950,0.972442255
31,135,0,12,99455,3,20500,0.080093613
31,46,0,21,$,-1,14700,0.33707089
24,101,0,8,15399,1,24450,0.619145116
29,33,1,62,123522,3,20995,0.216814622
18,65,1,51,53320,2,34900,0.251882738
31,181,0,123,22912,0,28950,0.322756925
18,32,1,51,73285,2,27900,0.562300613
24,50,1,109,83901,2,16750,0.233748729
29,26,1,47,66821,2,18888,0.012099709
31,184,0,8,93339,3,24995,0.414306551
29,57,0,62,35205,2,16995,0.282355685
31,184,0,12,108739,2,29500,0.491921929
0,3,0,3,217000,8,11950,0.937679382
31,135,0,8,117432,3,20500,0.595710197
31,81,1,8,23996,2,24995,0.171757418
24,119,0,12,6663,0,20950,0.288201982
0,4,1,2,42048,3,29450,0.293148119
3,35,0,101,48910,5,9995,0.577413432
31,135,0,109,264757,6,10950,0.818551096
20,99,0,51,34999,2,17495,0.638859467
20,186,0,17,146337,9,4950,0.326453429
14,61,0,8,13500,0,49995,0.298679564
9,190,0,51,$,2,41000,0.178828906
0,1,0,31,163181,7,11995,0.252479824
10,59,0,123,86902,3,19750,0.147835302
0,0,0,10,2,-1,29625,0.451856342
1,9,1,12,133218,3,24995,0.074841445
26,103,0,51,19246,2,23995,0.244931942
9,216,0,123,73000,2,22995,0.813434369
8,97,0,101,57935,4,11950,0.691721383
18,32,1,109,102500,4,22995,0.133238273
31,184,0,116,12586,0,37945,0.141844961
1,8,0,10,52946,5,19950,0.334711463
31,184,0,51,98176,4,18500,0.606230095
32,194,1,123,65000,3,28950,0.350956198
8,42,0,109,160930,3,18950,0.662030855
18,165,1,79,83040,9,49845,0.95479477
29,139,1,84,15102,1,31995,0.402865097
31,184,0,123,14,0,37500,0.710412211
24,119,0,101,10000,1,18950,0.467853008
18,65,1,108,$,-1,64196,0.81781721
24,119,0,12,19904,1,18950,0.286331176
0,2,0,20,121502,4,17950,0.475316488
7,155,0,8,107590,6,19995,0.971310551
0,10,1,9,5,-1,108384,0.428227772
20,121,0,51,20337,1,13995,0.052244337
29,57,1,82,3899,0,24495,0.672269363
27,129,0,12,49714,2,29995,0.952666458
31,184,0,109,82682,3,25000,0.349993403
1,9,1,12,29933,1,37995,0.004526592
26,126,1,100,123755,4,18950,0.451724248
26,156,0,51,56987,2,15995,0.983213752
21,24,0,51,105265,3,13450,0.47374225
17,118,1,101,125749,7,10995,0.376917953
20,121,0,123,25519,1,14495,0.650905888
18,65,1,79,91600,4,27445,0.718626129
18,32,1,109,88512,5,20495,0.347282717
18,65,1,49,8,-1,59250,0.228328638
8,55,0,101,193222,4,99999,0.199545022
20,144,0,51,76089,3,16995,0.661530301
26,126,0,109,173804,5,10000,0.910088758
31,187,0,18,138926,4,21000,0.718530393
21,24,0,8,47900,2,13950,0.236397807
31,98,0,109,62897,4,16500,0.637511084
31,98,1,12,78350,3,15000,0.070017266
29,210,0,117,5200,2,15995,0.31353871
1,5,1,12,18900,2,26995,0.493192594
29,210,0,109,31800,1,14750,0.829724986
31,135,1,109,68717,3,21950,0.201407698
25,112,1,101,8047,0,30495,0.620947451
18,28,1,8,10,-1,40800,0.487325106
31,81,0,46,70500,4,15995,0.781370441
7,123,0,51,115015,3,16950,0.279878191
29,139,1,117,44108,2,23995,0.581485621
14,61,1,46,71746,4,29995,0.037922279
31,135,1,109,98006,3,18950,0.836662567
24,101,0,51,31109,1,24450,0.784630934
31,46,0,101,365261,13,2950,0.764897354
7,69,0,51,51000,3,13950,0.504057275
29,21,0,8,143000,5,10750,0.163933795
27,72,1,12,19312,0,42995,0.229587901
26,104,1,123,210200,3,25950,0.503992458
0,2,0,2,149987,4,16950,0.361712871
20,144,0,12,47100,2,21495,0.883031018
31,81,1,109,61153,7,13950,0.369378006
31,184,0,51,$,0,34945,0.37887854
0,2,0,2,61636,3,24950,0.58821285
15,43,1,8,143067,4,15950,0.719016856
20,144,0,8,118729,4,16500,0.902711212
31,98,0,51,86233,4,15000,0.716184558
7,69,0,109,81350,4,10750,0.558093608
1,5,1,8,34894,2,27995,0.835208706
9,190,0,51,123000,3,21995,0.041700305
7,123,0,51,84749,4,15995,0.255583203
31,81,0,12,158838,5,12450,0.698744101
0,1,0,18,4,-1,38707,0.457129199
29,27,0,8,172482,4,14250,0.744330376
3,84,0,101,37014,4,17950,0.213325909
21,24,0,51,171069,6,8750,0.858763286
1,0,1,109,64604,2,21995,0.503326277
20,99,1,8,97174,3,14450,0.61181904
24,170,0,101,17172,1,25950,0.681731828
31,81,0,109,70806,2,22945,0.322473571
0,2,1,23,5,-1,54480,0.14764393
18,40,1,123,2300,0,40900,0.4674503
26,54,1,51,15500,2,12500,0.776291293
7,71,0,12,91730,3,16495,0.177518632
31,184,0,51,101782,4,18000,0.475741662
0,4,1,2,44367,4,26000,0.59221813
24,85,0,51,11500,1,25450,0.216567699
26,68,0,51,26002,1,13950,0.924797304
31,187,0,8,57478,2,27945,0.014853202
31,184,0,8,60943,3,25950,0.79971322
2,175,0,12,119893,8,5500,0.222844596
24,101,0,50,33428,1,23450,0.9358844
31,184,0,101,117000,3,23000,0.81705606
20,198,0,8,69200,3,24950,0.148240655
9,217,0,12,59825,4,11500,0.765272023
7,69,0,12,77246,17,600,0.411939671
20,99,0,101,$,5,12995,0.130854895
26,178,1,8,164149,3,16950,0.459654786
7,71,0,109,2,10,4750,0.637994115
9,190,0,123,75002,3,20495,0.076371637
32,203,1,51,$,-1,73475,0.839599977
0,2,1,18,5,-1,48537,0.163964459
32,164,1,12,78856,3,25950,0.75050824
31,81,1,109,176500,6,10950,0.89624558
0,4,1,21,152774,6,17900,0.679344765
7,123,0,51,80465,3,18995,0.485220651
31,81,0,8,78000,3,17500,0.453973379
31,184,0,8,208800,10,8500,0.424775204
29,210,0,109,95559,8,7950,0.508755706
13,176,0,8,146000,4,16850,0.195443072
19,17,0,101,96558,5,14750,0.662854691
29,26,1,47,68211,2,18888,0.061407722
4,167,0,18,12551,1,12950,0.356499856
7,71,0,109,33500,5,13500,0.468000236
25,22,1,51,16,0,22495,0.909987418
24,85,0,123,25143,1,25450,0.47743068
31,83,0,8,52141,3,18500,0.070978225
9,214,0,101,42074,4,10950,0.093820894
21,24,0,109,80114,5,11995,0.886936537
1,201,1,123,157711,8,18750,0.627567479
31,81,0,12,166800,6,10950,0.095511144
31,46,0,101,110142,5,10000,0.745561218
31,81,0,101,66834,4,16500,0.987823646
15,91,1,68,30145,2,31945,0.336289293
31,135,0,123,138400,4,16500,0.24237005
0,8,1,8,5,-1,45885,0.338325242
28,20,0,51,65981,8,3750,0.883568741
31,48,1,51,115791,7,15000,0.427765946
18,40,0,8,66012,4,22995,0.261493193
24,56,0,101,256,0,18250,0.79924558
9,190,0,109,75000,3,18500,0.190182785
20,144,0,51,28747,1,23495,0.548437816
26,126,0,51,71500,3,16995,0.642086277
0,1,0,1,5,-1,35995,0.531395618
7,71,0,51,21082,3,16950,0.979651619
9,190,0,12,53107,4,18995,0.317344147
20,99,0,51,107823,5,12950,0.032040352
29,33,1,2,47207,3,21995,0.4702982
18,32,1,109,39754,1,34845,0.823318677
31,98,0,8,94223,3,16500,0.527256346
31,81,0,8,128000,5,15945,0.660953673
26,104,1,12,93499,3,32495,0.466518622
31,138,1,12,14,0,24000,0.498388405
15,43,1,8,186518,5,12950,0.277422551
24,101,1,18,29237,1,26450,0.512035654
7,34,0,51,68241,7,9950,0.783194355
29,146,0,74,151828,4,17495,0.345274161
31,184,0,123,147364,5,15000,0.52352743
18,32,1,8,39390,2,29900,0.143603435
18,74,1,8,144356,3,36945,0.680334474
31,135,0,105,96719,4,20945,0.590746405
16,87,0,123,110805,6,12995,0.919859852
31,98,0,12,276800,12,3000,0.684179419
1,12,1,51,26553,1,48995,0.26170736
29,139,1,109,136000,5,12750,0.750414366
9,214,0,109,38020,1,14450,0.082436901
31,81,0,8,92171,3,18450,0.964090633
18,65,1,41,10,-1,68528,0.161385099
7,71,0,51,74028,3,14995,0.507925678
31,81,0,51,112651,3,18495,0.686801513
29,57,1,86,4717,0,26895,0.014718779
0,142,1,67,147200,4,43950,0.492275287
31,98,0,8,59500,5,11950,0.813329106
31,184,0,109,175805,11,8950,0.900944481
4,167,0,123,25,0,12100,1.57832E-05
18,32,1,8,128909,3,24900,0.986196829
0,1,0,32,5,-1,37400,0.509538721
31,81,0,51,31300,3,18500,0.717125864
7,71,0,8,111042,3,14995,0.148218935
26,126,0,12,400301,11,4950,0.478070389
28,179,1,109,133000,3,14950,0.593566743
29,18,0,101,25366,1,10950,0.648221321
15,109,1,35,15350,1,95945,0.952208434
14,154,1,45,138100,3,53495,0.58720756
26,126,0,109,163999,6,10495,0.568158601
20,144,0,51,37162,1,23495,0.636607737
6,62,0,7,17702,5,9995,0.187107038
26,178,1,18,195208,4,13950,0.357538256
20,99,0,109,104000,4,13995,0.811020962
31,184,0,18,160103,8,11400,0.518120957
9,190,0,109,63891,4,99999,0.371189148
1,9,1,12,119893,4,19995,0.060142571
24,85,0,101,28355,1,25450,0.353173657
21,24,0,51,231500,14,1350,0.238919215
18,32,1,8,125525,4,22950,0.215301265
31,135,0,109,146446,4,17950,0.422565712
7,69,0,109,33869,4,12950,0.040881223
9,190,0,51,79000,3,19400,0.5722927
20,144,0,12,24120,1,23495,0.865869234
26,178,0,12,26360,2,24495,0.481907515
0,1,0,17,10,-1,36800,0.781123778
31,135,1,109,205186,3,15950,0.467626703
0,5,1,35,71775,3,34950,0.678219012
31,46,0,123,170000,6,7950,0.396789455
31,81,0,51,235658,9,8000,0.055400338
31,138,0,123,20,0,21500,0.242177814
9,217,0,51,32000,3,14495,0.913383592
7,161,0,109,52302,1,31750,0.621829317
18,32,1,8,88375,2,29900,0.79054299
31,81,0,51,20,0,29945,0.694343799
18,65,1,8,10735,0,45900,0.741432247
26,178,1,123,128744,3,19950,0.546580965
31,98,0,8,170615,5,10450,0.987903354
7,69,0,109,205990,9,6750,0.194024297
29,26,0,8,170000,10,5950,0.183529195
31,83,0,51,68477,5,14000,0.350403909
31,135,0,51,191000,5,13500,0.019517126
1,9,0,8,179612,6,13945,0.804341352
25,19,0,12,70000,2,29495,0.56951951
32,203,0,12,112651,4,22995,0.479151855
9,190,0,123,112000,4,18995,0.892499038
4,167,0,12,52806,2,11950,0.050053364
20,144,0,51,47000,3,19495,0.419402882
29,210,0,109,73099,4,11750,0.658139438
31,138,0,109,76800,5,11950,0.875479363
31,184,0,109,105567,4,18500,0.391269724
18,15,1,12,10,-1,43984,0.608590709
26,169,0,109,16,0,23995,0.453154125
7,123,0,12,83684,3,18995,0.572097485
29,33,1,74,88915,3,20995,0.427948951
24,101,0,51,53181,3,18950,0.40567049
18,77,1,12,119499,2,36995,0.887098696
24,102,0,123,7254,1,9050,0.728576914
19,17,0,101,34700,5,13950,0.976969661
18,32,1,12,2775,0,43995,0.965080496
20,144,0,8,$,5,13995,0.071438506
18,32,1,12,71012,2,28900,0.539590772
31,81,0,51,233728,5,13500,0.592072422
20,111,1,109,7060,1,24995,0.17645478
29,210,0,2,19102,2,13995,0.260694032
31,184,0,51,85000,3,27500,0.530611794
1,9,1,8,62103,2,32945,0.887816759
31,181,0,101,19,0,32500,0.533486245
0,4,1,2,23818,3,25450,0.359414513
18,32,1,123,2000,0,45900,0.042056359
29,57,0,3,51486,2,18399,0.861020679
0,8,1,12,5,-1,46271,0.869310267
31,135,0,51,185070,5,11950,0.680459194
31,135,0,12,78141,2,26950,0.847697386
29,57,0,109,115000,5,13500,0.003555936
29,57,1,62,11901,0,25495,0.961645369
0,8,1,23,5,-1,47685,0.42826528
24,119,0,12,14,1,17950,0.964177637
18,15,1,8,5,-1,36800,0.538712625
9,215,0,18,2,0,24900,0.433266373
3,36,0,8,56546,5,11950,0.814533708
0,2,0,7,10,-1,42718,0.993491951
26,126,0,51,247499,6,8495,0.080493597
18,65,1,8,15891,0,45900,0.107123217
0,2,1,9,10,-1,54480,0.273895668
0,3,0,20,168977,3,24950,0.967576772
18,145,1,109,234009,12,6950,0.016128536
24,50,0,101,36769,1,17950,0.418880789
18,32,1,109,241419,10,7950,0.580308542
20,99,0,51,128744,8,5950,0.766164207
31,81,0,12,175080,7,10950,0.948414959
0,4,0,15,282313,10,6950,0.242198624
31,181,0,96,50,0,28945,0.76085536
17,118,1,101,92000,4,16995,0.185331708
31,81,0,123,20,0,27500,0.414886536
31,181,0,8,21000,2,22500,0.749588073
18,41,1,51,126250,4,25950,0.080863146
24,119,0,8,17,1,18450,0.838274787
18,65,1,109,71775,3,26995,0.797938672
4,167,0,12,24953,1,12950,0.147424289
9,168,0,123,63000,2,29950,0.500005475
